Name	Location	label
	 Papua 	-1
 December 	 Papua, 	1
 2015,  August 	 Papua 	1
		-1
 September, 		"-1
"
		-1
		-1
		-1
 20,  September 		"-1
"
		-1
		-1
	 showroom  textile  Chennai 	-1
 morning  Wednesday 	 Nagar  T  at  showroom  textile  Silks  Chennai 	1
		-1
	 region  Chamba 	-1
	 region.  Chamba  of  area  Dand  and  Kihar 	-1
		-1
		-1
 Saturday. 	 district,  Morigaon  Assam's  in  villages  several 	1
	 district.  the  of  circle  revenue  Mayong  under  villages  several 	-1
		-1
	 unit  fertiliser  Bangladesh: 	-1
 Tuesday. 	 Chittagong,  of  city  port  Bangladesh’s  in  unit  fertiliser 	1
 night  Monday 	 river  Karnaphuli  of  bank  the  on  Limited  Company  Fertiliser  DAP 	1
 night.  last  PM  11:30 		"-1
"
		-1
	 streets  Noida 	-1
 Sunday. 	 Noida,  Greater  and  Noida 	1
 evening,  Sunday 	 Noida  Greater  and  Noida 	1
	 maharashtra 	-1
 2012. 	 India  in  Maharashtra 	1
 2013 	 Maharashtra. 	1
		-1
		-1
	 districts  Dhule  and  Jalgaon  Jalna,  Aurangabad,  Nanded,  Osmanabad,  Latur,  Nashik.  and  Beed  Satara,  Pune,  Sangli,  Ahmednagar,  Solapur,  are  Maharashtra  in  areas 	-1
	 Indonesia 	-1
	 Java  of  island  main  Indonesia's 	-1
 week,  last 	 Java  east  in  landslide  single 	1
		-1
 week.  last 	 island  populous  most  Indonesia's 	1
		-1
		-1
 February 	 Bali 	1
	 Java.  West  Garut, 	-1
 year,  last  September 		"-1
"
	 Pradesh  Andhra 	-1
 Monday. 	 Pradesh,  Andhra 	1
		-1
	 Philippine 	-1
		-1
	 Philippines 	-1
		-1
	 Sea  Sulu 	-1
	 province,  Bukidnon 	-1
		-1
		-1
	 Philippines 	-1
 week,  Last 	 Philippines  central 	1
 2013, 		"-1
"
	 coast  Vietnam 	-1
	 Vietnam 	-1
	 region,  the  across  blackouts  widespread  caused  Damrey 	-1
 month,  a  in 	 Vietnam 	1
	 mosque  Nigeria 	-1
	 Mubi,  of  town  Nigerian  north-eastern  the  in  mosque 	-1
 Tuesday 	 state  Adamawa 	1
	 markets.  and  mosques  as  such  places,  public  crowded 	-1
 September. 	 state  Borno 	1
	 region,  the  in  state  Islamic 	-1
		-1
 Wednesday. 	 plaza,  toll  Keerambur 	1
		-1
		-1
 Friday. 	 section  Coimbatore–Mettuppalayam  the  on  road  Idigarai  to  Narashimanaickenpalayam 	1
		-1
	 Bareilly 	-1
 evening.  Wednesday 	 Bareilly 	1
		-1
		-1
 pm  6.30 	 crossing  railway  gated  Gosia 	1
	 Africa  South 	-1
 Tuesday 	 Johannesburg,  city  main  Africa’s  South 	1
	 Africa.  South  central 	-1
	 Telangana 	-1
 morning.  Thursday 	 district  Medak  of  village  Masaipet 	1
 morning  Thursday  on  9.10am 		"-1
"
		-1
	 Uttarakhand;  Himachal,  J-K, 	-1
	 UP 	-1
 on Friday, 	 Uttarakhand  and  Pradesh  Himachal  Kashmir,  and  Jammu 	1
		-1
	 Highway  National  Delhi-Lucknow  Pradesh  Uttar 	-1
	 coast,  east  US 	-1
 today, 	 coast  east  the  slammed  capital  US 	1
	 DC,  Washington  to  addition  in  Kentucky,  and  York  New  Jersey,  New  Pennsylvania,  Virginia,  Maryland,  Tennessee,  Carolina,  North  Georgia, 	-1
		-1
		-1
		-1
 hours  36 		"-1
"
	 Studio  Annapurna 	-1
 evening.  Monday 	 Hills  Banjara  in  studio  Annapurna 	1
 evening.  the  in  6:30pm 		"-1
"
		-1
		-1
	 Kupwara  Kashmir’s  and  Jammu 	-1
 evening,  Friday 	 district  Kupwara  Kashmir’s  north 	1
		-1
	 Madurai  near  shop  Tasmac 	-1
 morning  Wednesday 	 Nadu  Tamil  of  district  Madurai  in  Melur  near  shop  Tasmac 	1
		-1
		-1
		-1
		-1
		-1
 Tuesday 	 resort,  ski  Japanese 	1
		-1
	 Tokyo,  of  northwest  Shirane,  Kusatsu  Mt. 	-1
		-1
		-1
		-1
		-1
 2014,  27,  September 	 Nagano  central  in  Ontake,  Mount 	1
 1983.  since 		"-1
"
	 Portugal  central 	-1
 afternoon  Saturday 	 Grande  Pedrogao  of  municipality 	1
		-1
		-1
 Saturday, 	 regions.  several 	1
	 mainland.  the  of  km  square  1,000 	-1
 2016  August 	 Madeira  of  island 	1
	 Madagascar, 	-1
 1898 	 Madagascar 	1
 week  last 	 capital,  Madagascar’s 	1
	 island  Ocean  Indian 	-1
 2014 	 Africa,  West 	1
	 highlands.  rural 	-1
		-1
		-1
		-1
		-1
 August, 		"-1
"
 1898 	 Madagascar 	1
	 Madagascar 	-1
		-1
	 Madagascar. 	-1
 month  last 		"-1
"
 Tuesday. 	 Madagascar 	1
	 house,  Rajabazar 	-1
 Sunday  on  4.25pm  around 	 Rajabazar,  Street,  Dinendra  Raja  on  building  two-storey  a  of  floor  first 	1
		-1
	 building.  adjacent 	-1
		-1
	 building, 	-1
		-1
		-1
 Saturday, 	 area  industrial  Waluj  the  in  Company  Ltd  Private  Auto  Metalman 	1
		-1
	 Cuttack. 	-1
 Sunday. 	 city  the  of  locality  Palamandap  busy  the  in  store  garment  three-storey 	1
		-1
 am,  11.25 		"-1
"
		-1
		-1
		-1
 4,  January 	 Bhubaneswar.  in  Damana  at  mall  shopping 	1
		-1
		-1
		-1
 Sunday  on  hours  earlyl 	 district.  Dindigul  in  Sempatti 	1
		-1
	 Pradesh  Madhya 	-1
 am  4.15  around 	 Sithaiyankottai. 	1
		-1
 night  late  Saturday 	 Baraut.  Baghpat’s 	1
		-1
		-1
 night.  Saturday 	 Baraut  in  road  Binauli 	1
		-1
		-1
	 Nanjangud.  in  godown 	-1
	 noon.  Sunday  town  Nanjngud  in  Nagar  Vinayak  at  godown 	-1
		-1
		-1
		-1
	 Expressway,  Mumbai-Pune 	-1
 Sunday.  on  early 	 Expressway  Mumbai-Pune  the  of  lane  third 	1
	 village.  Kon  near  tunnel  Bhatan 	-1
 3.30am. 		"-1
"
	 Dantewada.  Chhattisgarh's 	-1
 Sunday. 	 district  Dantewada  Chhattisgarh's 	1
	 village  Gatam 	-1
 night,  last 	 Gatam,  at  house  Podiyam's 	1
		-1
 Saturday.  of  hours  early 	 city  the  of  outskirts  the  on  Chettipalayam  near  Road  Bypass  L&T 	1
		-1
	 Chettipalayam,  at  Thottam  Kallankadu 	-1
		-1
		-1
		-1
		-1
 Sunday. 	 Kalyan 	1
		-1
		-1
		-1
	 2005,  26,  July  since 	-1
 29.  August 	 areas.  Sakinaka  Andheri,  Kurla,  Central,  Mumbai  Dadar,  Sion,  areas  suburban  the  and  Mumbai 	1
 2017,  19,  September 	 areas  low-lying 	1
	 Mumbai. 	-1
 Sunday. 		"-1
"
	 India,  northern 	-1
	 Delhi-NCR. 	-1
 Wednesday 	 Valley,  Kashmir  the  and  capital  national  India,  north  of  parts  several  region  border  Afghanistan-Tajikistan 	1
	 Valley,  Kashmir  the  as  well  as  region  Delhi-NCR 	-1
		-1
		-1
	 Valley, 	-1
		-1
 2005  October 	 Control.  of  Line  the  of  side  either  on  Kashmir  and  Jammu  of  parts  wide 	1
	 Japan: 	-1
 Wednesday, 	 Japan 	1
	 Honshu,  of  island  the  of  northeast  miles)  (64  km  103 	-1
	 Japan, 	-1
 Tuesday, 	 here  of  northwest 	1
		-1
	 Gunma 	-1
	 Kusatsu-machi,  in  Resort  Ski  International  Kusatsu  neighbouring 	-1
		-1
	 Aligarh 	-1
 Friday.  on  am  3:45  around 	 Aligarh 	1
 morning  Sunday 	 Atrauli, 	1
	 Syria 	-1
 Monday 		"-1
"
	 Ghouta  Eastern  of  region 	-1
	 Ghouta,  Eastern  in  areas  several 	-1
	 Sawa,  Beit  of  town  the  in  market 	-1
	 Hazzeh.  of  town 	-1
	 region,  besieged  the  of  rest 	-1
	 Ghouta,  Eastern 	-1
 Friday, 		"-1
"
	 Touma.  Bab  of  district  regime-controlled  capital's  the  onto  Ghouta  Eastern 	-1
		-1
 Monday, 	 provinces  Pul  Sari  and  Faryab  Badakhshan,  northern 	1
	 district,  Wardoj  province’s  Badakhshan 	-1
	 Faryab,  of  district  Tagab  Shirin 	-1
		-1
	 Karachi. 	-1
 Monday 		"-1
"
		-1
	 Park,  Zamzama  near  area  Clifton  Karachi’s 	-1
		-1
	 Hyderabad.  in  GHMC  in  office 	-1
 Tuesday  on  early 	 room.  audit  office,  Zone  Central  GHMC’s 	1
	 building  three-floor 	-1
 weeks.  two  last 	 office  government 	1
 24,  January 	 Khairatabad,  in  also  incidentally  office,  Authority’s  Transport  Road  of  floor  first 	1
	 RTA 	-1
 Tuesday’s 	 office  GHMC 	1
	 room  audit 	-1
	 GHMC 	-1
 Wednesday. 		"-1
"
 Tuesday 	 Station  Rail  Metro  City  Hitech  under-construction 	1
		-1
	 Mysuru: 	-1
		-1
	 estate.  industrial  Mumbai  in  mill  cloth 	-1
 morning, 	 Goregaon  suburban  in  mall  Oberoi  the  near  Estate  Industrial  Italian  the  in  mill  cloth 	1
 am,  7.19 	 Road,  Link  Mulund  on  located  building  three-storey  the  of  floor  ground 	1
 19,  January 	 area.  Parel  Lower  in  Compound  Mills  Todi  the  in  studio  Navrang 	1
 8,  January 	 building  court  sessions  the  of  floor  third 	1
 6,  January 	 Kanjurmarg,  suburban  in  studio  Cinevista 	1
 4,  January 		"-1
"
	 Marol  suburban  in  building  residential  a  of  floor  upper 	-1
	 church,  Egypt 	-1
 year  last 		"-1
"
 Friday, 	 capital  Egypt's  in  church 	1
		-1
	 area.  Helwan  in  church  Mina  Mar 	-1
	 church,  Cairo  south 	-1
		-1
 7.  January  on  Day  Christmas  orthodox  and  year  new  the  of  celebration  Coptic 		"-1
"
 year  last 		"-1
"
	 Uttarakhand.  in  gorge 	-1
 Wednesday. 	 Uttarakhand  of  area  Sawala  Champawat's  in  gorge 	1
	 Tanakpur.  Pithoragarh 	-1
		-1
		-1
	 highway.  national  Pathankot-Jalandhar 	-1
		-1
 today. 	 road  Malout 	1
		-1
	 Abohar  in  mill  flour 	-1
		-1
	 Maharashtra.  in  Thane 	-1
 morning,  Tuesday 	 areas  surrounding  and  Thane 	1
	 am.  2.21 	-1
	 region.  Thane 	-1
	 Mandi.  Himachal’s 	-1
 Friday, 	 Pradesh  Himachal  of  region  Mandi 	1
		-1
 another  2,  October 	 region.  Chamba 	1
 1905 	 Valley,  Kangra 	1
	 Haryana 	-1
	 Haryana, 	-1
	 stores  US 	-1
 evening  Tuesday 	 Road,  Ferry  Burnett  on  Stop  Quick  Tech  Hi 	1
		-1
	 Beverage,  and  Food  Street  Elm  store,  convenience 	-1
		-1
	 factory;  medicine 	-1
	 here,  locality  Kundanpura  in  factory  medicine 	-1
 Thursday. 		"-1
"
		-1
		-1
		-1
 evening  this  late 	 road.  Sriganganagar-Srikaranpur 	1
		-1
	 Panipat, 	-1
 today. 	 area  Madlauda  in  road  village  Assan-Khandra 	1
		-1
		-1
 today. 	 road  Radaur 	1
		-1
		-1
 Wednesday. 	 Ambala  in  Naraingarh  of  village  Gaddoli 	1
		-1
		-1
	 Nahan  Dharamsala  Palampur  Una  Shimla  Solan  Bhuntar  Kalpa  Manali  state  the  of  parts  most 	-1
		-1
 morning. 	 village  Ghaluwal 	1
		-1
 today 	 Nizamuddin,  near  flyover  Barapullah 	1
		-1
	 Champawat. 	-1
 morning. 	 district  Champawat  in  road  Tanakpur-Pithoragarh  the  on  temple  Swala 	1
	 temple.  the  near 	-1
		-1
		-1
	 India,  northern 	-1
	 Delhi-NCR. 	-1
 Wednesday 	 Valley,  Kashmir  the  and  capital  national  India,  north  of  parts  several  border  Afghanistan-Tajikistan 	1
	 Valley,  Kashmir  the  as  well  as  region  Delhi-NCR 	-1
		-1
		-1
	 Valley, 	-1
		-1
 2005  October 	 Control.  of  Line  the  of  side  either  on  Kashmir  and  Jammu  of  parts  wide 	1
	 Tonga 	-1
 Monday 	 Samoa.  nation  island  Pacific  Tonga 	1
 Friday,  overnight 	 Samoa 	1
 night.  Monday 	 Tongatapu.  island  populous  most  Tonga's  of  east  kilometres  370  Tonga 	1
 2016 	 Fiji 	1
 2015. 	 Vanuatu 	1
		-1
	 England.  New  state  York  New  Chicago,  Friday,  Midwest  US  northern 	-1
 2016  late 	 Michigan.  and  Illinois  northern  Wisconsin,  area  metropolitan  Chicago's 	1
	 Michigan.  Montana 	-1
	 Midwest 	-1
	 state  York  New 	-1
		-1
 Monday. 		"-1
"
		-1
	 city,  Srinagar  of  heart 	-1
		-1
		-1
	 Hospital  SMHS 	-1
		-1
 Jammu,  of  area  Sunjwan 		"-1
"
	 factories.  shoe  Delhi  two 	-1
 Monday 	 Narela.  and  Area  Industrial  Mangolpuri  Delhi’s  in  factories  shoe 	1
 2,  February  on  Earlier 	 Peeragarhi,  Delhi’s 	1
	 store  US 	-1
	 Georgia.  of  state  US  the  in  stores  convenience  two 	-1
 evening  Tuesday 	 Road.  Ferry  Burnett  on  Stop  Quick  Tech  Hi 	1
		-1
	 store  convenience  another 	-1
		-1
	 district.  Gajapati  Odisha’s  in  gorge 	-1
	 district.  Gajapati  Odisha’s  in  gorge  50-ft-deep 	-1
	 gorge.  deep 	-1
	 Mussoorie 	-1
 Tuesday 	 town.  Mussoorie  of  station  hill 	1
 morning. 		"-1
"
	 suffered  industry  tourism  Mussoorie.  neighbouring  Surkunda,  and  Burashkhanda  Nagtibba,  Dhanaulti, 	-1
	 Srinagar 	-1
 today  30-hour-long 	 city  Srinagar 	1
 Monday. 	 Nagar  Karan  at  building  multi-storey  under-construction 	1
 afternoon. 		"-1
"
		-1
		-1
 am,  1  around 	 building  the  inside 	1
		-1
	 Ward  9th  Lower 	-1
	 Gras  Mardi  from  miles  of  couple 	-1
	 Ward.  9th  Lower  the  in  Avenue  Claude  St.  of  block  5100  the  in  station  gas 	-1
	 agency  spy  US 	-1
 morning  Wednesday 	 Maryland.  Meade,  Fort  in  headquarters  Agency  Security  National  US 	1
		-1
		-1
		-1
		-1
